provenance_row_id,form_name,field,source_value,source_concept_name,standard_concept_id,source_concept_code,source_lookup_uri,target_omop_uri
prov-0073,Adverse Event/SAE,observation_source_value,ae_15_ongoing,Ongoing,45878805,LA9040-2,,https://athena.ohdsi.org/search-terms/terms/45878805
prov-0074,Adverse Event/SAE,observation_source_value,ae_16_intensity,Severity,1472146,LA34615-7,,https://athena.ohdsi.org/search-terms/terms/1472146
prov-0075,Adverse Event/SAE,observation_source_value,ae_16_ongoing,Ongoing,45878805,LA9040-2,,https://athena.ohdsi.org/search-terms/terms/45878805
prov-0076,Adverse Event/SAE,observation_source_value,ae_17_intensity,Severity,1472146,LA34615-7,,https://athena.ohdsi.org/search-terms/terms/1472146
prov-0077,Adverse Event/SAE,observation_source_value,ae_17_memo,Adverse event note,706291,LP173419-5,,https://athena.ohdsi.org/search-terms/terms/706291
prov-0078,Adverse Event/SAE,observation_source_value,ae_17_ongoing,Ongoing,45878805,LA9040-2,,https://athena.ohdsi.org/search-terms/terms/45878805
prov-0079,Adverse Event/SAE,observation_source_value,ae_18_intensity,Severity,1472146,LA34615-7,,https://athena.ohdsi.org/search-terms/terms/1472146
prov-0080,Adverse Event/SAE,observation_source_value,ae_18_memo,Adverse event note,706291,LP173419-5,,https://athena.ohdsi.org/search-terms/terms/706291
prov-0081,Adverse Event/SAE,observation_source_value,ae_18_ongoing,Ongoing,45878805,LA9040-2,,https://athena.ohdsi.org/search-terms/terms/45878805
prov-0082,Adverse Event/SAE,observation_source_value,ae_19_intensity,Severity,1472146,LA34615-7,,https://athena.ohdsi.org/search-terms/terms/1472146
prov-0083,Adverse Event/SAE,observation_source_value,ae_19_memo,Adverse event note,706291,LP173419-5,,https://athena.ohdsi.org/search-terms/terms/706291
prov-0084,Adverse Event/SAE,observation_source_value,ae_19_ongoing,Ongoing,45878805,LA9040-2,,https://athena.ohdsi.org/search-terms/terms/45878805
prov-0085,Adverse Event/SAE,observation_source_value,ae_1_ongoing,Ongoing,45878805,LA9040-2,,https://athena.ohdsi.org/search-terms/terms/45878805
prov-0086,Adverse Event/SAE,observation_source_value,ae_20_intensity,Severity,1472146,LA34615-7,,https://athena.ohdsi.org/search-terms/terms/1472146
prov-0087,Adverse Event/SAE,observation_source_value,ae_20_memo,Adverse event note,706291,LP173419-5,,https://athena.ohdsi.org/search-terms/terms/706291
prov-0088,Adverse Event/SAE,observation_source_value,ae_20_ongoing,Ongoing,45878805,LA9040-2,,https://athena.ohdsi.org/search-terms/terms/45878805
prov-0089,Adverse Event/SAE,observation_source_value,ae_2_intensity,Severity,1472146,LA34615-7,,https://athena.ohdsi.org/search-terms/terms/1472146
prov-0090,Adverse Event/SAE,observation_source_value,ae_2_ongoing,Ongoing,45878805,LA9040-2,,https://athena.ohdsi.org/search-terms/terms/45878805
prov-0091,Adverse Event/SAE,observation_source_value,ae_3_intensity,Severity,1472146,LA34615-7,,https://athena.ohdsi.org/search-terms/terms/1472146
prov-0092,Adverse Event/SAE,observation_source_value,ae_3_ongoing,Ongoing,45878805,LA9040-2,,https://athena.ohdsi.org/search-terms/terms/45878805
prov-0093,Adverse Event/SAE,observation_source_value,ae_4_intensity,Severity,1472146,LA34615-7,,https://athena.ohdsi.org/search-terms/terms/1472146
prov-0094,Adverse Event/SAE,observation_source_value,ae_4_ongoing,Ongoing,45878805,LA9040-2,,https://athena.ohdsi.org/search-terms/terms/45878805
prov-0095,Adverse Event/SAE,observation_source_value,ae_5_intensity,Severity,1472146,LA34615-7,,https://athena.ohdsi.org/search-terms/terms/1472146
prov-0096,Adverse Event/SAE,observation_source_value,ae_5_ongoing,Ongoing,45878805,LA9040-2,,https://athena.ohdsi.org/search-terms/terms/45878805
prov-0097,Adverse Event/SAE,observation_source_value,ae_6_intensity,Severity,1472146,LA34615-7,,https://athena.ohdsi.org/search-terms/terms/1472146
prov-0098,Adverse Event/SAE,observation_source_value,ae_6_ongoing,Ongoing,45878805,LA9040-2,,https://athena.ohdsi.org/search-terms/terms/45878805
prov-0099,Adverse Event/SAE,observation_source_value,ae_7_intensity,Severity,1472146,LA34615-7,,https://athena.ohdsi.org/search-terms/terms/1472146
prov-0100,Adverse Event/SAE,observation_source_value,ae_7_ongoing,Ongoing,45878805,LA9040-2,,https://athena.ohdsi.org/search-terms/terms/45878805
prov-0101,Adverse Event/SAE,observation_source_value,ae_8_intensity,Severity,1472146,LA34615-7,,https://athena.ohdsi.org/search-terms/terms/1472146
prov-0102,Adverse Event/SAE,observation_source_value,ae_8_ongoing,Ongoing,45878805,LA9040-2,,https://athena.ohdsi.org/search-terms/terms/45878805
prov-0103,Adverse Event/SAE,observation_source_value,ae_9_intensity,Severity,1472146,LA34615-7,,https://athena.ohdsi.org/search-terms/terms/1472146
prov-0104,Adverse Event/SAE,observation_source_value,ae_9_ongoing,Ongoing,45878805,LA9040-2,,https://athena.ohdsi.org/search-terms/terms/45878805
prov-0105,Adverse Event/SAE,observation_source_value,ae_action_spfy,Treatment information,40758874,55753-8,,https://athena.ohdsi.org/search-terms/terms/40758874
prov-0106,Adverse Event/SAE,observation_source_value,ae_description,Event description,1175234,89793-4,,https://athena.ohdsi.org/search-terms/terms/1175234
prov-0107,Adverse Event/SAE,observation_source_value,ae_freq1,Frequency,1472215,LA34619-9,,https://athena.ohdsi.org/search-terms/terms/1472215
prov-0108,Adverse Event/SAE,observation_source_value,ae_freq10,Frequency,1472215,LA34619-9,,https://athena.ohdsi.org/search-terms/terms/1472215
prov-0109,Adverse Event/SAE,observation_source_value,ae_freq11,Frequency,1472215,LA34619-9,,https://athena.ohdsi.org/search-terms/terms/1472215
prov-0110,Adverse Event/SAE,observation_source_value,ae_freq12,Frequency,1472215,LA34619-9,,https://athena.ohdsi.org/search-terms/terms/1472215
prov-0111,Adverse Event/SAE,observation_source_value,ae_freq13,Frequency,1472215,LA34619-9,,https://athena.ohdsi.org/search-terms/terms/1472215
prov-0112,Adverse Event/SAE,observation_source_value,ae_freq14,Frequency,1472215,LA34619-9,,https://athena.ohdsi.org/search-terms/terms/1472215
prov-0113,Adverse Event/SAE,observation_source_value,ae_freq15,Frequency,1472215,LA34619-9,,https://athena.ohdsi.org/search-terms/terms/1472215
prov-0114,Adverse Event/SAE,observation_source_value,ae_freq16,Frequency,1472215,LA34619-9,,https://athena.ohdsi.org/search-terms/terms/1472215
prov-0115,Adverse Event/SAE,observation_source_value,ae_freq17,Frequency,1472215,LA34619-9,,https://athena.ohdsi.org/search-terms/terms/1472215
prov-0116,Adverse Event/SAE,observation_source_value,ae_freq18,Frequency,1472215,LA34619-9,,https://athena.ohdsi.org/search-terms/terms/1472215
prov-0117,Adverse Event/SAE,observation_source_value,ae_freq19,Frequency,1472215,LA34619-9,,https://athena.ohdsi.org/search-terms/terms/1472215
prov-0118,Adverse Event/SAE,observation_source_value,ae_freq2,Frequency,1472215,LA34619-9,,https://athena.ohdsi.org/search-terms/terms/1472215
prov-0119,Adverse Event/SAE,observation_source_value,ae_freq20,Frequency,1472215,LA34619-9,,https://athena.ohdsi.org/search-terms/terms/1472215
prov-0120,Adverse Event/SAE,observation_source_value,ae_freq3,Frequency,1472215,LA34619-9,,https://athena.ohdsi.org/search-terms/terms/1472215
prov-0121,Adverse Event/SAE,observation_source_value,ae_freq4,Frequency,1472215,LA34619-9,,https://athena.ohdsi.org/search-terms/terms/1472215
prov-0122,Adverse Event/SAE,observation_source_value,ae_freq5,Frequency,1472215,LA34619-9,,https://athena.ohdsi.org/search-terms/terms/1472215
prov-0123,Adverse Event/SAE,observation_source_value,ae_freq6,Frequency,1472215,LA34619-9,,https://athena.ohdsi.org/search-terms/terms/1472215
prov-0124,Adverse Event/SAE,observation_source_value,ae_freq7,Frequency,1472215,LA34619-9,,https://athena.ohdsi.org/search-terms/terms/1472215
prov-0125,Adverse Event/SAE,observation_source_value,ae_freq8,Frequency,1472215,LA34619-9,,https://athena.ohdsi.org/search-terms/terms/1472215
prov-0126,Adverse Event/SAE,observation_source_value,ae_freq9,Frequency,1472215,LA34619-9,,https://athena.ohdsi.org/search-terms/terms/1472215
prov-0127,Adverse Event/SAE,observation_source_value,ae_other_spfy,Adverse event,45884383,LA7266-5,,https://athena.ohdsi.org/search-terms/terms/45884383
prov-0128,Adverse Event/SAE,observation_source_value,ae_outcome,Adverse incident outcome,4231813,405533003,,https://athena.ohdsi.org/search-terms/terms/4231813
prov-0129,Adverse Event/SAE,observation_source_value,ae_serious10,Serious,36662510,LA30751-4,,https://athena.ohdsi.org/search-terms/terms/36662510
prov-0130,Adverse Event/SAE,observation_source_value,ae_serious11,Serious,36662510,LA30751-4,,https://athena.ohdsi.org/search-terms/terms/36662510
prov-0131,Adverse Event/SAE,observation_source_value,ae_serious2,Serious,36662510,LA30751-4,,https://athena.ohdsi.org/search-terms/terms/36662510
prov-0132,Adverse Event/SAE,observation_source_value,ae_serious3,Serious,36662510,LA30751-4,,https://athena.ohdsi.org/search-terms/terms/36662510
prov-0133,Adverse Event/SAE,observation_source_value,ae_serious4,Serious,36662510,LA30751-4,,https://athena.ohdsi.org/search-terms/terms/36662510
prov-0134,Adverse Event/SAE,observation_source_value,ae_serious5,Serious,36662510,LA30751-4,,https://athena.ohdsi.org/search-terms/terms/36662510
prov-0135,Adverse Event/SAE,observation_source_value,ae_serious6,Serious,36662510,LA30751-4,,https://athena.ohdsi.org/search-terms/terms/36662510
prov-0136,Adverse Event/SAE,observation_source_value,ae_serious7,Serious,36662510,LA30751-4,,https://athena.ohdsi.org/search-terms/terms/36662510
prov-0137,Adverse Event/SAE,observation_source_value,ae_serious8,Serious,36662510,LA30751-4,,https://athena.ohdsi.org/search-terms/terms/36662510
prov-0138,Adverse Event/SAE,observation_source_value,ae_serious9,Serious,36662510,LA30751-4,,https://athena.ohdsi.org/search-terms/terms/36662510
prov-0139,Adverse Event/SAE,observation_source_value,ae_serious_12,Serious,36662510,LA30751-4,,https://athena.ohdsi.org/search-terms/terms/36662510
prov-0140,Adverse Event/SAE,observation_source_value,ae_serious_13,Serious,36662510,LA30751-4,,https://athena.ohdsi.org/search-terms/terms/36662510
prov-0141,Adverse Event/SAE,observation_source_value,ae_serious_14,Serious,36662510,LA30751-4,,https://athena.ohdsi.org/search-terms/terms/36662510
prov-0142,Adverse Event/SAE,observation_source_value,ae_serious_15,Serious,36662510,LA30751-4,,https://athena.ohdsi.org/search-terms/terms/36662510
prov-0143,Adverse Event/SAE,observation_source_value,ae_serious_16,Serious,36662510,LA30751-4,,https://athena.ohdsi.org/search-terms/terms/36662510
prov-0144,Adverse Event/SAE,observation_source_value,ae_serious_17,Serious,36662510,LA30751-4,,https://athena.ohdsi.org/search-terms/terms/36662510
prov-0145,Adverse Event/SAE,observation_source_value,ae_serious_18,Serious,36662510,LA30751-4,,https://athena.ohdsi.org/search-terms/terms/36662510
prov-0146,Adverse Event/SAE,observation_source_value,ae_serious_19,Serious,36662510,LA30751-4,,https://athena.ohdsi.org/search-terms/terms/36662510
prov-0147,Adverse Event/SAE,observation_source_value,ae_serious_20,Serious,36662510,LA30751-4,,https://athena.ohdsi.org/search-terms/terms/36662510
prov-0148,Adverse Event/SAE,observation_source_value,ae_status10,Adverse incident outcome,4231813,405533003,,https://athena.ohdsi.org/search-terms/terms/4231813
prov-0149,Adverse Event/SAE,observation_source_value,ae_status11,Adverse incident outcome,4231813,405533003,,https://athena.ohdsi.org/search-terms/terms/4231813
prov-0150,Adverse Event/SAE,observation_source_value,ae_status12,Adverse incident outcome,4231813,405533003,,https://athena.ohdsi.org/search-terms/terms/4231813
prov-0151,Adverse Event/SAE,observation_source_value,ae_status13,Adverse incident outcome,4231813,405533003,,https://athena.ohdsi.org/search-terms/terms/4231813
